序号,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
223,-5.1,-6.1,1024,45,0,1.8,38,26,0,41,10,20,0.7
224,-5.8,-7.1,1025,49,0,1.5,26,18,0,39,8,24,0.6
225,-4.9,-6.1,1026,48,0,1.6,,,,,,,
226,-1.8,-2.1,1027,38,0,2.4,32,22,24,62,12,8,0.7
227,-1.2,-1.3,1028,32,0,3.5,31,18,31,55,14,17,0.7
228,0.1,0.5,1028,28,0,3.1,46,32,37,49,19,24,0.9
229,1,2.1,1027,26,0,1.5,72,52,68,46,38,28,1.6
230,1,1.7,1026,27,0,2.2,68,49,55,46,32,32,1.4
231,0.8,1.9,1026,26,0,1.4,75,55,69,50,42,33,1.9
232,0.9,2.1,1026,26,0,1.1,72,52,62,49,33,34,1.6
233,0.7,1.6,1027,28,0,1.4,73,53,62,51,31,32,1.6
234,0.4,1.1,1028,31,0,1.4,84,62,81,56,38,29,1.7
235,0,0.4,1029,34,0,1.4,75,55,77,60,38,21,1.8
236,-1.7,-1.3,1030,39,0,0.5,84,62,79,68,42,13,1.9
237,-3.5,-4.2,1031,47,0,1,88,65,92,76,46,7,2.4
238,-2.6,-3.5,1031,47,0,1.7,103,77,112,76,40,7,2.4
239,-2,-1.4,1032,23,0,3.6,100,75,99,76,37,7,2
240,-3.1,-2.7,1032,23,0,4.4,49,32,49,45,17,31,0.9
241,-3.9,-3.5,1032,24,0,3.9,25,17,23,32,8,40,0.5
242,-4.6,-4.4,1033,27,0,3.6,22,14,22,34,9,36,0.5
243,-5.1,-5.4,1033,29,0,4.8,22,14,22,27,9,42,0.5
244,-5.1,-4.7,1033,27,0,3.1,22,9,22,22,9,46,0.4
245,-5.7,-6.1,1032,29,0,5,21,9,21,21,8,46,0.4
246,-6,-6,1032,29,0,3.4,21,8,21,17,7,49,0.4
247,-6.1,-6.2,1033,28,0,4.2,16,8,15,17,6,50,0.4
248,-6.5,-6.6,1033,29,0,4,22,8,22,17,7,51,0.5
249,-6,-5.8,1033,28,0,3.3,18,7,18,26,8,43,0.6
250,-5.4,-5.6,1034,26,0,5.6,17,9,15,33,8,36,0.6
251,-4.7,-4.4,1034,24,0,4.6,31,7,31,31,8,37,0.7
252,-4,-3.7,1033,23,0,5.1,23,14,23,22,9,47,0.7
253,-3.2,-2.5,1032,21,0,4,20,11,20,14,7,57,0.7
254,-2.7,-1.9,1031,19,0,4.2,20,10,20,13,6,60,0.6
255,-2.1,-0.9,1031,18,0,3.2,20,6,12,10,6,63,0.6
256,-1.6,-0.5,1030,18,0,3.5,20,11,0,13,6,62,0.5
257,-1.6,-0.2,1030,18,0,2.4,20,10,12,14,4,62,0.5
258,-2.6,-1.4,1030,20,0,2.5,19,9,14,17,5,59,0.4
259,-2.8,-1.5,1031,20,0,2.4,19,10,19,24,6,51,0.4
260,-3.2,-2.2,1031,21,0,2.9,21,14,21,30,6,46,0.5
261,-3.6,-3.2,1032,20,0,5.6,,,,,,,
262,-4.2,-3.2,1032,22,0,2.7,,,,,,,
263,-4.8,-3.9,1032,24,0,2.4,,,,,,,
264,-5.4,-5.2,1032,25,0,4.6,18,11,18,26,9,46,0.5
265,-6.1,-5.8,1032,26,0,3.5,20,14,19,28,9,43,0.6
266,-6.6,-6.2,1032,27,0,2.7,19,12,19,30,10,39,0.6
267,-7,-6.5,1032,28,0,2.3,23,16,18,28,9,41,0.6
268,-7.1,-7.3,1032,28,0,4.7,19,11,19,23,8,46,0.6
269,-7.4,-7.2,1032,28,0,3.1,,,,,,,
270,-7.7,-7.4,1031,29,0,2.3,16,7,12,18,6,51,0.6
271,-8.3,-7.9,1031,30,0,1.8,15,9,14,22,8,46,0.7
272,-9.5,-9.8,1031,35,0,2.2,16,11,11,24,7,44,0.7
273,-8,-8.3,1031,32,0,3.3,15,5,14,30,8,38,0.8
274,-6.7,-6.4,1031,28,0,2.8,21,14,17,42,9,25,1
275,-5.1,-4.3,1031,25,0,2.4,22,12,22,37,10,32,1
276,-3.8,-3,1030,21,0,3.7,24,15,24,26,9,43,0.9
277,-2.4,-1.4,1028,18,0,4,22,15,21,21,9,49,0.9
278,-1.7,-0.3,1027,18,0,2.5,,,,,,,
279,-0.8,0.4,1026,16,0,3.9,,,,,,,
280,-0.2,1.2,1025,15,0,3.2,20,12,20,13,6,60,0.8
281,-0.7,0.5,1025,15,0,3.9,,,,,,,
282,-1.7,-0.2,1025,16,0,2.6,23,14,23,15,5,60,0.5
283,-2.3,-0.8,1025,17,0,2.4,24,10,24,19,5,56,0.5
284,-3.1,-1.6,1025,19,0,2,22,9,22,23,4,52,0.5
285,N/A,N/A,N/A,N/A,N/A,N/A,24,12,24,33,6,40,0.6
286,-4.1,-2.7,1025,23,0,1.4,,,,,,,
287,-4.2,-3,1025,26,0,1.2,32,19,32,53,11,19,0.8
288,-4.5,-3.7,1024,26,0,2.1,,,,,,,
289,-3.9,-2.8,1024,22,0,2.3,26,17,26,48,11,21,0.7
290,-4.4,-3.2,1023,22,0,2,25,16,24,50,11,18,0.8
291,-4.5,-3.2,1023,21,0,2,29,15,29,43,9,24,0.7
292,-4,-2.6,1023,19,0,2.2,27,14,27,43,7,25,0.7
293,-4.1,-2.5,1022,19,0,1.7,18,9,18,36,6,30,0.5
294,-6,-4.3,1022,23,0,0.7,18,8,18,32,5,31,0.5
295,-7.4,-6.3,1022,27,0,1.1,23,16,0,42,6,27,0.5
296,-7.1,-6.8,1022,34,0,1.2,21,11,16,41,7,27,0.5
297,-5.3,-5.2,1022,35,0,1.5,27,15,27,51,7,14,0.6
298,-4.3,-3.1,1022,26,0,1.1,57,31,64,66,18,6,1.6
299,-2.5,-1.4,1022,24,0,1.9,75,55,99,73,27,4,2.8
300,N/A,N/A,N/A,N/A,N/A,N/A,56,38,61,70,22,6,1.9
301,-1.1,0.4,1020,21,0,1.4,61,42,72,68,29,13,1.7
302,1.1,3.3,1019,14,0,1.2,67,48,71,64,28,21,1.6
303,1,2.3,1018,16,0,3.2,44,25,44,35,18,48,0.7
304,2.4,4.2,1018,15,0,1.9,40,14,40,22,13,62,0.4
305,1,2.5,1018,16,0,2.5,44,25,44,32,15,51,0.5
306,-0.7,0.6,1018,21,0,2.1,52,35,53,40,16,44,0.7
307,-1.6,-0.3,1019,25,0,1.2,78,57,79,72,23,17,1.1
308,-2.7,-1.6,1019,28,0,1,102,76,99,86,32,6,1.4
309,-3.9,-3.3,1019,33,0,1,120,91,109,90,27,5,1.5
310,-4.4,-3.8,1019,33,0,0.9,128,97,121,93,27,4,2.2
311,-4.4,-4.2,1019,36,0,1.2,,,,,,,
312,-5.5,-5.7,1019,41,0,1,,,,,,,
313,-7.1,-7.7,1019,45,0,0.8,122,92,115,89,29,4,3
314,-6.1,-6.8,1019,47,0,0.7,97,72,93,85,27,4,2.7
315,-5.5,-6,1019,46,0,0.6,93,69,89,84,29,4,2.6
316,-7,-8.5,1019,50,0,1.6,109,82,119,87,32,4,3.1
317,-6.5,-8.2,1018,53,0,1.4,110,83,128,86,34,3,3.1
318,N/A,N/A,N/A,N/A,N/A,N/A,110,83,127,90,36,3,3.2
319,N/A,N/A,N/A,N/A,N/A,N/A,74,54,0,76,26,3,1.3
320,N/A,N/A,N/A,N/A,N/A,N/A,123,93,127,95,43,4,3.5
321,-7.1,-7.7,1018,50,0,0.2,166,126,162,100,47,5,4.5
322,-2.9,-3.3,1019,42,0,1.5,168,127,153,94,59,5,4.3
323,0.2,1.6,1018,24,0,1.2,170,129,156,89,55,5,4.5
324,2.1,3.6,1018,16,0,2.6,152,116,147,93,48,5,3.6
325,2.8,3.9,1016,14,0,4.3,155,118,136,87,38,14,2.6
326,3.7,4.9,1015,14,0,4,142,108,121,67,30,35,1.7
327,4.6,6.5,1015,13,0,1.5,135,103,107,47,28,56,1.3
328,4.7,7.3,1015,13,0,0.3,115,87,95,45,28,58,1.2
329,3.7,5.7,1015,14,0,1.4,119,90,97,52,27,54,1.2
